question,answer,passage
has south africa qualified for the world cup,TRUE,"South Africa have appeared in the FIFA World Cup on three occasions in 1998, 2002, and 2010."
is it illegal to flash your headlights to warn of police uk,FALSE,"Though not all of its rules represent law, the Highway Code states ``Only flash your headlights to let other road users know that you are there. Do not flash your headlights in an attempt to intimidate other road users''. Drivers warning others about speed traps have been fined in the past for ``misuse of headlights''."
is australia part of the ring of fire,FALSE,"The Ring of Fire is a direct result of plate tectonics: the movement and collisions of lithospheric plates. The eastern section of the ring is the result of the Nazca Plate and the Cocos Plate being subducted beneath the westward-moving South American Plate. The Cocos Plate is being subducted beneath the Caribbean Plate, in Central America. A portion of the Pacific Plate and the small Juan de Fuca Plate are being subducted beneath the North American Plate. Along the northern portion, the northwestward-moving Pacific plate is being subducted beneath the Aleutian Islands arc. Farther west, the Pacific plate is being subducted along the Kamchatka Peninsula arcs on south past Japan. The southern portion is more complex, with a number of smaller tectonic plates in collision with the Pacific plate from the Mariana Islands, the Philippines, Bougainville, Tonga, and New Zealand; this portion excludes Australia, since it lies in the center of its tectonic plate. Indonesia lies between the Ring of Fire along the northeastern islands adjacent to and including New Guinea and the Alpide belt along the south and west from Sumatra, Java, Bali, Flores, and Timor."
is demi moore in the movie wild oats,TRUE,"Wild Oats is a 2016 American comedy film directed by Andy Tennant and written by Gary Kanew and Claudia Myers. The film stars Demi Moore, Jessica Lange, Shirley MacLaine, and Billy Connolly. The film premiered on Lifetime on August 22, 2016, prior to being released in a limited release on September 16, 2016, by The Weinstein Company and RADiUS-TWC."
is news release and press release the same,TRUE,"A press release, news release, media release, press statement or video release is a written or recorded communication directed at members of the news media for the purpose of announcing something ostensibly newsworthy. Typically, they are mailed, faxed, or e-mailed to assignment editors and journalists at newspapers, magazines, radio stations, online media, television stations or television networks."
did the queen mum buy a castle in scotland,TRUE,"Barrogill Castle was in a semi-derelict state when, in 1952, the estate was purchased by Queen Elizabeth The Queen Mother, the widow of King George VI, who had died earlier in the year. The Queen Mother set about restoring the castle for use as a holiday home, removing some of the 19th-century additions, and reinstating the Castle's original name. The Queen Mother hung several portraits of the previous owners - the earl of caithness around the castle. She regularly visited it in August and October from 1955 until her death in March 2002; the last visit was in October 2001."
is there a bridge between morocco and spain,FALSE,"The Strait of Gibraltar crossing is a hypothetical bridge or tunnel spanning the Strait of Gibraltar (about 14 km or 9 miles at its narrowest point) that would connect Europe and Africa. The governments of Spain and Morocco appointed a joint committee to investigate the feasibility of linking the two continents in 1979, which resulted in the much broader Euromed Transport project."
does latent heat of vaporization change with temperature,TRUE,"The heat of vaporization is temperature-dependent, though a constant heat of vaporization can be assumed for small temperature ranges and for reduced temperature T r (\displaystyle T_(r)) ≪ 1 (\displaystyle \ll 1) . The heat of vaporization diminishes with increasing temperature and it vanishes completely at a certain point called the critical temperature ( T r = 1 (\displaystyle T_(r)=1) ). Above the critical temperature, the liquid and vapor phases are indistinguishable, and the substance is called a supercritical fluid."
has the data protection act 1998 been superseded,TRUE,"It was superseded by the Data Protection Act 2018 (DPA 2018) on 23 May 2018. The DPA 2018 supplements the EU General Data Protection Regulation (GDPR), which came into effect on 25 May 2018. The GDPR regulates the collection, storage, and use of personal data significantly more strictly."
is someone born in guam a us citizen,TRUE,"Separate sections of law handle territories that the United States has acquired over time, such as Alaska 8 U.S.C. § 1404 and Hawaii 8 U.S.C. § 1405, both incorporated, and unincorporated Puerto Rico 8 U.S.C. § 1402, the U.S. Virgin Islands 8 U.S.C. § 1406, and Guam 8 U.S.C. § 1407. Each of these sections confer citizenship on persons living in these territories as of a certain date, and usually confer native-born status on persons born in incorporated territories after that date."
